wave,conf_tv,trust,discuss,national_pride,income_inequality,party_vote,conf_gov,sign_petition,boycott,democracy,imp_family,happiness,leisure,imp_friends,imp_work,pol_interest,sex,age,educ,income,party_vote_local,party_vote2,party_vote3,survey_interest,regime_supporter,interested_pol,interested_survey,treatment,selfcens_vote,selfcens_petition,selfcens_boycott,selfcens_confgov,selfcens_democracy,selfcens_conftv,selfcens_trust,selfcens_incomeineq,selfcens_nationalpride,selfcens_discuss,selfcens_family,selfcens_happiness,selfcens_leisure,selfcens_friends,selfcens_work,selfcens_index1,selfcens_index2,selfcens_index3,match_group
3,1,2,-1,1,10,1,1,-1,-1,1,1,4,3,3,1,2,1,25,1,2,50001,50003,-1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,20,40,40,1.1.154
3,2,2,1,1,10,3,1,2,3,1,1,2,3,2,1,1,2,20,3,2,50003,50001,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.321
3,2,2,2,1,10,5,1,-1,-1,1,1,2,3,2,1,2,1,45,2,6,5,50001,-1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.339
3,2,2,2,1,10,1,1,-1,-1,1,1,2,3,2,1,2,2,25,3,6,50001,50003,50002,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.142
3,2,2,2,1,10,5,1,-1,-1,1,1,2,3,2,1,2,1,33,3,5,5,50004,-1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.389
3,2,2,1,1,6,3,2,1,2,1,1,2,3,2,1,2,1,36,2,5,50003,50001,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.386
3,-1,2,3,1,10,3,2,-1,-1,2,1,2,3,2,1,3,2,20,3,4,50003,50001,-1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,20,40,40,0.1.753
3,2,2,1,1,10,2,1,1,2,1,1,2,3,2,1,1,1,30,3,7,50002,50004,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.399
3,3,2,2,1,10,1,3,3,1,1,1,2,3,2,1,2,1,34,3,4,50001,50003,50004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.60
3,2,2,1,1,10,1,1,2,-1,1,1,2,3,2,1,2,1,47,3,4,50001,50002,-1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.7
3,-1,2,3,1,10,2,2,-1,-1,1,1,2,3,2,1,3,2,34,3,4,50002,50004,-1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,20,40,40,0.1.436
3,-1,2,1,1,8,3,2,1,-1,1,1,3,3,2,1,2,1,36,3,9,50003,50001,50004,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,1.1.207
3,-1,2,-1,1,10,1,1,-1,-1,1,1,2,2,2,1,3,1,55,1,4,50001,50003,-1,2,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,40,40,0.1.209
3,2,2,2,1,10,1,1,-1,-1,1,1,2,3,2,1,2,2,25,3,8,50001,50003,50002,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.11
3,2,2,2,1,10,1,1,-1,-1,1,1,2,3,2,1,2,1,22,3,3,50001,50003,-1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.77
3,3,2,2,1,10,4,1,-1,-1,1,1,3,3,2,1,2,1,42,3,4,50004,50002,-1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.60
3,3,-1,2,1,9,4,2,2,3,1,1,2,3,2,1,2,2,17,2,4,50004,50002,50001,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-20,0,0,1.1.197
3,2,2,1,1,10,1,1,2,3,1,1,2,4,2,1,1,1,38,3,8,50001,50002,50004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.349
3,2,2,2,1,10,3,1,2,-1,1,1,3,2,1,1,2,2,25,2,4,50003,50002,50001,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.322
3,2,2,1,1,10,2,1,1,-1,1,1,2,3,2,1,2,1,27,3,8,50002,50003,50004,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.391
3,2,2,2,1,10,1,1,1,3,1,1,2,3,2,1,2,2,18,2,7,50001,50002,50004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.240
3,1,2,2,1,7,1,1,2,1,1,1,2,3,2,1,2,2,27,3,3,50001,50003,50002,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.321
3,2,2,2,1,10,1,1,-1,-1,1,1,2,3,2,1,2,2,31,1,4,50001,50003,50004,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.55
3,-1,2,2,1,10,1,1,-1,-1,1,1,2,2,3,1,3,1,45,2,4,50001,50001,-1,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,20,40,40,0.1.726
3,2,2,2,1,10,1,1,-1,-1,1,1,2,3,2,1,2,2,29,2,4,50001,50002,-1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,1.1.65
3,3,2,2,1,10,1,1,2,2,1,1,2,3,1,1,2,1,57,3,5,50001,50002,50004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1.84
3,3,2,3,1,10,1,1,2,-1,1,1,2,4,3,1,2,1,58,3,7,50001,50002,-1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.47
3,-1,2,2,1,10,1,2,-1,-1,1,1,2,3,2,1,2,2,28,2,7,50001,50002,50004,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,20,40,40,1.1.220
3,3,2,2,1,10,3,1,2,-1,1,1,2,3,1,1,2,1,31,2,4,50003,50001,-1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,1.1.355
